user,task,Interaction,Robot Response,Verbal,gaze/arm,gaze/camera,gaze/face,whole
021601,1,26.548983333333336,6.146066666666665,10.586296666666657,0.0,0.0,14.401360000000002,88.88739
021601,2,21.64128333333332,5.208163333333338,9.852579999999994,0.0,0.0,12.774159999999995,81.71433999999999
021701,1,37.69746666666666,17.292303333333336,16.879246666666667,0.0,0.0,0.0,82.75428
021701,2,29.211139999999997,13.5965,11.570729999999992,3.1566666666666676,0.0,0.0,76.24897
022401,1,36.62738999999999,13.446256666666658,8.63644666666667,0.0,0.0,11.084099999999998,80.83277
022401,2,42.00365999999999,15.909156666666675,7.949773333333332,3.4177400000000007,0.0,13.620763333333336,91.01876
022402,1,24.21474333333333,5.705253333333329,5.101326666666664,0.0,0.0,8.062999999999997,84.26754
022402,2,33.488656666666664,8.44283000000001,8.380383333333329,0.0,0.0,14.317923333333326,82.90706999999999
022801,1,20.21602333333333,6.912769999999996,5.885860000000001,0.0,0.0,0.0,63.739869999999996
022801,2,24.80482333333333,7.726950000000002,6.260540000000003,0.0,0.0,0.0,74.91472999999999
030301,1,28.92999,8.934606666666667,7.542606666666657,3.134043333333332,0.0,0.0,78.54686
030301,2,22.42036333333333,7.009179999999997,7.50932,2.1211666666666686,0.0,0.0,63.5597
030401,1,33.984346666666674,9.50046666666667,8.85737999999999,0.0,0.0,9.218933333333334,94.04111999999999
030401,2,23.70974666666667,5.881150000000006,4.758836666666661,0.0,0.0,0.0,89.60360999999999
030901,1,26.669040000000006,7.579816666666666,6.238600000000004,0.0,0.0,0.0,90.84128000000001
030901,2,10.14969666666667,3.124746666666669,3.579216666666665,0.0,0.0,0.0,68.77598
031001,1,26.558533333333344,7.565569999999997,10.119950000000006,0.0,0.0,7.157499999999995,90.46643
031001,2,30.281396666666666,7.852459999999996,10.548520000000009,0.7068266666666668,0.0,8.966606666666664,85.14948
031101,1,30.836706666666668,9.352766666666671,8.236413333333337,0.0,0.0,7.751263333333331,77.39582999999999
031101,2,21.80643333333333,6.875960000000002,8.245239999999994,0.0,0.0,7.205276666666667,68.19923
031401,1,27.46491333333334,8.670573333333335,7.169019999999999,0.0,0.0,5.472450000000001,81.89846
031401,2,39.097013333333344,10.522559999999999,8.11695666666666,0.0,0.0,12.08997,82.90122
031501,1,44.33557,11.330960000000003,12.646689999999987,0.0,0.0,13.813586666666666,85.36974000000001
031501,2,37.86433333333334,10.497336666666671,10.813883333333331,0.0,0.0,11.688350000000002,76.82794
031701,1,48.33302333333335,6.948433333333327,11.404909999999992,0.0,0.0,0.0,263.07390000000004
031701,2,25.617256666666666,4.646723333333338,6.516470000000004,0.0,0.0,0.0,98.13730000000001
032301,1,25.715726666666665,4.840806666666663,11.677403333333332,0.0,0.0,0.0,89.28526
032301,2,34.583989999999986,7.668153333333336,17.238349999999993,0.0,9.86947,0.0,115.28132
032801,1,33.42348666666667,9.51598333333333,14.32223666666667,0.0,0.0,11.361416666666665,96.17781
032801,2,35.84238,9.206243333333331,16.04607666666667,1.6640833333333376,0.0,10.498240000000001,84.61433000000001
032901,1,40.4119,11.783630000000008,11.268036666666665,0.459196666666666,0.0,12.087613333333332,92.61465
032901,2,31.13234,8.97595999999999,9.296993333333337,0.6172499999999985,0.0,11.891563333333332,91.08005999999999
032902,1,25.985900000000004,6.532256666666668,6.767366666666671,0.0,0.0,3.0180100000000003,86.65943999999999
032902,2,36.24235333333332,7.913063333333329,8.498670000000006,3.4868899999999976,0.0,2.01338,96.05877
032903,1,32.79223666666667,7.590076666666671,9.958426666666664,2.097773333333333,0.0,5.910773333333334,71.64429
032903,2,26.113039999999994,7.353750000000004,7.8703499999999975,0.0,0.0,6.9463599999999985,66.64488999999999
032904,1,32.480799999999995,8.59627333333333,8.57185,0.0,0.0,8.96171333333333,92.12929
032904,2,30.908016666666658,8.777536666666665,8.871206666666668,0.19808999999999935,0.0,9.542386666666667,74.8034
033001,1,11.97117,3.276210000000001,5.822780000000002,0.0,0.0,9.929043333333334,80.35649
033001,2,12.27164,6.0813933333333345,2.782526666666662,0.6666666666666666,0.0,11.595283333333333,74.72345
033101,1,35.939123333333335,8.986436666666675,9.783753333333328,0.0,0.0,9.974413333333331,84.26512
033101,2,35.655453333333334,8.709426666666664,9.730873333333335,0.0,0.0,12.003440000000003,75.41577
040101,1,29.280436666666663,7.049623333333334,8.10936333333334,1.6105700000000003,0.0,5.1127700000000065,79.33487
040101,2,23.90264333333334,6.645409999999998,7.271336666666663,0.0,0.0,6.367956666666664,66.31253
040601,1,23.520139999999998,6.022646666666669,5.898893333333336,0.0,0.0,0.0,70.91982999999999
040601,2,31.66808,8.12261,7.707523333333337,0.0,0.0,10.013686666666663,76.37567999999999
040801,1,23.520139999999998,6.022646666666669,5.898893333333336,0.0,0.0,0.0,70.91982999999999
040801,2,31.66808,8.12261,7.707523333333337,0.0,0.0,10.013686666666663,76.37567999999999
040802,1,23.520139999999998,6.022646666666669,5.898893333333336,0.0,0.0,0.0,70.91982999999999
040802,2,31.66808,8.12261,7.707523333333337,0.0,0.0,10.013686666666663,76.37567999999999
041301,1,23.520139999999998,6.022646666666669,5.898893333333336,0.0,0.0,0.0,70.91982999999999
041301,2,31.66808,8.12261,7.707523333333337,0.0,0.0,10.013686666666663,76.37567999999999
041501,1,23.520139999999998,6.022646666666669,5.898893333333336,0.0,0.0,0.0,70.91982999999999
041501,2,31.66808,8.12261,7.707523333333337,0.0,0.0,10.013686666666663,76.37567999999999
042501,1,23.520139999999998,6.022646666666669,5.898893333333336,0.0,0.0,0.0,70.91982999999999
042501,2,31.66808,8.12261,7.707523333333337,0.0,0.0,10.013686666666663,76.37567999999999
050901,1,23.520139999999998,6.022646666666669,5.898893333333336,0.0,0.0,0.0,70.91982999999999
050901,2,31.66808,8.12261,7.707523333333337,0.0,0.0,10.013686666666663,76.37567999999999
051601,1,23.520139999999998,6.022646666666669,5.898893333333336,0.0,0.0,0.0,70.91982999999999
051601,2,31.66808,8.12261,7.707523333333337,0.0,0.0,10.013686666666663,76.37567999999999
